hs,heimilisfang,verkefni,lon,lat,status
261,Miklatún,,-21.911411530,64.138022530,1
263,Heiðargeri 80,2022,-21.878768390,64.128215500,1
267,Vesturbrún 18,2023,-21.869428960,64.145179550,1
268,Brautarholt 14,,-21.906597120,64.141644950,1
270,Hörgshlíð 24,2023,-21.909383630,64.130112760,1
274,Bólstaðarhlíð 26,2023,-21.903560840,64.135197520,1
275,Ægisíða 70,,-21.962792000,64.139328000,1
276,Skálagerði 6,2023,-21.879581000,64.126521180,1
277,Breiðagerði 15,2022,-21.874348000,64.126284420,1
280,Blesugróf 38,,-21.846503060,64.117786820,1
284,Langagerði 72,2022,-21.861480200,64.123978960,1
285,Kambsvegur 23,2023,-21.862296910,64.143810140,1
298,Bogahlíð 24,2023,-21.907032680,64.131777250,1
300,Brautarholt,max 15 lampar,-21.876752740,64.241611790,1
303,Bíldshöfi 9A,2023,-21.822749770,64.125549340,1
305,Kleppsvegur 52,2023,-21.871126210,64.149411610,1
308,Rauðalækur 11,,-21.882096490,64.149417520,1
309,Garðsendi 6,2022,-21.852815480,64.122925240,1
310,Ármúli 27,2023,-21.873716000,64.136147000,1
315,Birkihlíð 6,2023,-21.901550430,64.124765740,1
321,Kirkjuland,2024,-21.789886730,64.217758820,1
322,Dugguvogur 11,2023,-21.847380540,64.129795660,1
325,Rauðavatn,2023,-21.779746240,64.111437680,1
327,Goðheimar 54,2022,-21.861316470,64.135997530,1
331,Ármúli 31,max 15 lampar,-21.874138080,64.134056240,1
332,Gnoðarvogur 20,2022,-21.865119740,64.132662020,1
344,Reyrengi 15,2022,-21.775854450,64.147768010,1
348,Vesturbrún 9,2022,-21.866891580,64.145723300,1
349,Kleppsvegur 8,2023,-21.880605590,64.150585700,1
350,Hvassaleiti 77,2022,-21.889505830,64.129085790,1
355,Þönglabakki 1,2022,-21.842901700,64.108226880,1
359,Álftamýri 8,2022,-21.892746920,64.137150150,1
360,Álftamýri 38,2022,-21.894489810,64.135074960,1
362,Háaleitisbraut 20a,2022,-21.887787420,64.136337740,1
363,Háaleitisbraut 38,2022,-21.886748810,64.134600460,1
364,Háaleitisbraut 44,2023,-21.884238870,64.133877330,1
365,Safamýri 34,2022,-21.887771850,64.132522330,1
374,Loftleiðir,2023,-21.932552580,64.131303370,1
377,Brekknaás,2023,-21.794310280,64.102968190,1
378,Stekkur,2024,-21.754160290,64.212523000,1
379,Eyjaslóð 1,Faxaflóahafnir,-21.939778500,64.156927160,1
382,Fornhagi 9,2023,-21.958659050,64.140682890,1
385,Suðurlandsbraut 2,,-21.889854320,64.139751190,1
387,Mosavegur,,-21.782048350,64.150438600,1
388,Lykkja,,-21.853146770,64.239756040,1
398,Fellsmúli 9,,-21.879578410,64.132517830,1
400,Laugavegur 172,,-21.901870730,64.141157440,1
401,Grandabryggja,Faxaflóahafnir,-21.941648530,64.154846340,1
403,Kleppsvegur 120,,-21.853060000,64.142996010,1
404,Kléberg,,-21.825161940,64.237005940,1
405,Snekkjuvogur 9,2022,-21.857728360,64.131289430,1
407,Hólmgarður 39,2023,-21.871562690,64.123166720,1
408,Þórunnartún 2,,-21.911083980,64.144831370,1
414,Kjalarvogur 17A,Faxaflóahafnir,-21.841493990,64.139304520,1
415,Grensásvegur 16,,-21.875682220,64.131651560,1
417,Ármúli 17,,-21.878630000,64.137298000,1
422,Leirulækur,2022,-21.878311000,64.148393660,1
423,Kaplaskjólsvegur 31,2023,-21.962993040,64.145760800,1
426,Kleppsvegur 74,,-21.862951990,64.147345620,1
427,Akurgerði 17,max 15 lampar,-21.873896680,64.127811650,1
428,Hlaðbær,2022,-21.804364400,64.115709010,1
432,Umferðarmiðstöðin,,-21.935173460,64.137615970,1
433,Fróðengi 1,2023,-21.784410650,64.147752920,1
435,Rofabær 5-7,2023,-21.805894500,64.118026520,1
436,Rofabær 17,2023,-21.802059930,64.117244420,1
437,Rofabær 27,2022,-21.797048190,64.116529800,1
438,Rofabær 39,2023,-21.789631700,64.115479020,1
439,Fagribær 12,2022,-21.810721280,64.116631560,1
440,Laugardalshöll,,-21.877848090,64.140611520,1
441,Skipholt 70,,-21.897943400,64.137384790,1
442,Heiðargerði 1a,2023,-21.882426750,64.129994260,1
443,Meistaravellir 10,2023,-21.962860290,64.147641950,1
444,Bolholt H.R,,-21.894742770,64.139155910,1
445,Hólaberg 74,2023,-21.808217730,64.105678460,1
446,Stigahlíð 50,2023,-21.902256090,64.130606550,1
447,Bolholt 4,,-21.896753090,64.139971300,1
448,Skeifan 13,2023,-21.870728840,64.130548720,1
450,Njörvasund 12,,-21.853285360,64.138287700,1
455,Skipasund 21,2022,-21.856894560,64.142226330,1
456,Fremristekkur 12,2023,-21.833813900,64.111828300,1
463,Klapparstígur 7B,2023,-21.927887190,64.147413080,1
468,Eyjabakki 32,2023,-21.829850210,64.108424900,1
471_01,Efstaland 24,2022,-21.876084050,64.121689610,1
472,Brautarland 19,2022,-21.879789890,64.119661990,1
473,Brúnaland 1,2023,-21.882731910,64.120577070,1
476,Eikjuvogur 18,2022,-21.853029160,64.128850280,1
477,Sævarhöfði 31,2022,-21.827537770,64.132375520,1
478,Hverfisgata 113,2024,-21.914180160,64.143916050,1
479,Blesugróf H.R,,-21.827800580,64.115243510,1
480,Félagsheimili RR,max 15 lampar,-21.825714000,64.117225440,1
483,Árnagarður,2023,-21.951468780,64.139135540,1
485,Tungubakki 34,2023,-21.839223640,64.108154940,1
487,Hjaltabakki,2022,-21.832264330,64.105735260,1
489,Tunguháls 2,,-21.787171840,64.117930310,1
490,Hólmaslóð 12,Faxaflóahafnir,-21.940501930,64.159860700,1
491,Þórufell 20a,2022,-21.827833170,64.101613510,1
492,Breiðhöfði 10,,-21.824991410,64.129352810,1
494,Stekkjarbakki H.R,,-21.833165060,64.112690180,1
495,Grensásvegur 3,,-21.872603880,64.132486260,1
496,Hátún 10,2023,-21.896114050,64.142128050,1
497_01,Hulduland 11a,2022,-21.866390020,64.120529540,1
498,Helluland 19,2022,-21.868336890,64.119163320,1
499,Skógarhlíð 10,,-21.920261250,64.134270270,1
500,Tindasel 3,2022,-21.853584100,64.100076490,1
501,Lóuhólar 6,2023,-21.817157270,64.109541210,1
502,Furugerði 5,2023,-21.882131760,64.124540850,1
504,Bullauga,2022,-21.770989930,64.119567490,1
505,Giljasel 12,,-21.842952800,64.102111510,1
508,Dalsel 9,2023,-21.835731310,64.100710410,1
511,Borgartún 38,2023,-21.892002340,64.145881160,1
515,Kleifarsel 26,,-21.837876510,64.094561780,1
518,Vegmúli 4,2022,-21.880256180,64.138283660,1
522,Hraunberg 6,2023,-21.813979270,64.105289990,1
535_01,Sævarland 20,2022,-21.857395750,64.118772770,1
537,Flúðasel 28,2023,-21.831569090,64.097835700,1
539,Hamarshöfði 15a,2022,-21.814110830,64.128026540,1
541,Holtavegur,,-21.846014820,64.142715020,1
542,Norðurgarður,Faxaflóahafnir,-21.936458440,64.155530880,1
548,Smárarimi,2022,-21.798820110,64.148414290,1
549,Rimaflöt 9,2023,-21.801715670,64.144946030,1
566,Orrahólar 7,,-21.809800050,64.108688890,1
568,Vesturgata 2,2022,-21.941455290,64.148746210,1
570,Bæjarflöt 8a,2022,-21.802594550,64.142869540,1
578,Rangársel 20,,-21.845201640,64.097679900,1
581,Öldugrandi 1,2023,-21.982883230,64.150372080,1
582,Ægisgarður,Faxaflóahafnir,-21.941258680,64.152403720,1
583,Kringlan 7,2023,-21.896535990,64.131497440,1
588,járnháls 4,,-21.794048420,64.122710220,1
590,Þvottalaugarvegur 25,2023,-21.868760180,64.138795520,1
591,Ægissíða 50,2022,-21.960566800,64.136948320,1
603,Holtabakki,,-21.844136720,64.142266440,1
605,Höfðabakkabrú,2023,-21.820974590,64.115142950,1
607,Silakvísl 8,2023,-21.825339490,64.121440450,1
608,Reykás 13,2022,-21.785815480,64.109807320,1
610_01,Esjugrund 40,2022,-21.831647970,64.240027720,1
615,Kalkofnsvegur 3,max 15 lampar,-21.931880620,64.148521330,1
617,Selásbraut 103,2023,-21.786189960,64.105539920,1
619,Hverfisgata 20,2023,-21.931742520,64.146539220,1
621,Logafold 106a,2022,-21.789335200,64.133558070,1
622,Rafstöðvarvegur-Elliðaárbrú,,-21.839710830,64.123423690,1
623,Skútuvogur 4,,-21.847373590,64.139061030,1
628,Hverafold 30A,2023,-21.803660530,64.135385220,1
629,Nethylur 2a,2023,-21.814287700,64.121913610,1
630,Breiðhöfði 17,,-21.826084860,64.131002600,1
634,Keldnaholt,,-21.764056490,64.139043890,1
636,Hvassaleiti 54,,-21.892544180,64.128596750,1
640,Viðarhöfði 4,,-21.797468960,64.125618920,1
642,Korngarðar 12,Faxaflóahafnir,-21.858484400,64.151773290,1
644,Jöklafold 45,2022,-21.794314900,64.136682010,1
646,Faxafen 9,2023,-21.866050790,64.129430450,1
647,Árskógar 10,2023,-21.847109900,64.105791530,1
648,Réttarháls 1,2023,-21.799412590,64.120160460,1
650,Fannafold 113a,2022,-21.802593250,64.138293570,1
651,Hjarðarhagi 2,2023,-21.953982410,64.139152500,1
653,Logafold 4,2023,-21.797491570,64.134118440,1
658,Hamravík 14a,2022,-21.780656690,64.152970320,1
659,Hlaðhamrar 2A,2023,-21.816960620,64.139648840,1
660,Sigtún 40A,,-21.890355520,64.141735220,1
662,Skútuvogur 14,,-21.847248000,64.136190000,1
670,Dyrhamrar 30,2023,-21.810961820,64.137791180,1
674,Korpúlfsstaðavegur,2023,-21.763472990,64.153816660,1
678,Viðey,,-21.852414320,64.162871870,1
680,Eggertsgata,2023,-21.953708140,64.136067750,1
684,Miðhús 2A,2023,-21.772286160,64.136109920,1
688,Bústaðarvegur 7,2023,-21.906415870,64.127471630,1
693,Fiskislóð 53,Faxaflóahafnir,-21.944406650,64.156307120,1
695,Dalhús 25,2023,-21.785191680,64.138570990,1
696,Hlíðarhús 9,2023,-21.777628090,64.138838910,1
702,Blikastaðavegur 10,,-21.751965830,64.147476390,1
707,Borgarsjúkrahús,,-21.890255840,64.121895680,1
709,Stórhöfði 23,2023,-21.811700000,64.128820000,1
712,Hallveigarstígur 7,2023,-21.933295590,64.145406990,1
716,Aðalstræti 8,,-21.942488360,64.148018030,1
720,Breiðholtsbraut-brú,,-21.799067510,64.097080960,1
727,Skerplugata 1A,2023,-21.950036800,64.134375720,1
728,Starengi 22,2023,-21.774766910,64.150764510,1
733,Fossaleinir 13,2023,-21.770715310,64.144855390,1
736,Tryggvagata 17,,-21.940740550,64.149441570,1
737,Barðastaðir 1,2022,-21.751227900,64.156646030,1
771,Básabryggja 19,2022,-21.815677090,64.132056070,1
783,Fitjakot,2024,-21.693427680,64.188998460,1
787,Lambhagavegur 17A,,-21.758599820,64.136128560,1
788,Lambhagi Gróðrarstöð,2022,-21.752493720,64.133220130,1
789,Sæbraut. Laugarnestangi,2022,-21.886261570,64.151581130,1
793,Vallá,2024,-21.818721690,64.236712110,1
796,Norðurgrund,,-21.835789990,64.242170180,1
799,Öskjuhlíð II,,-21.915516420,64.129111040,1
800,Maríubaugur 125A,2023,-21.763942040,64.126679880,1
801,Ólafsgeisli 57a,2022,-21.765108140,64.124020140,1
803,Kirkjustétt 1A,2023,-21.754511710,64.126599430,1
808,Klettagarðar,,-21.873367570,64.155432600,1
810,Naustanes,2024,-21.706836800,64.201020490,1
813,Varmidalur III,max 15 lampar,-21.680451020,64.193006610,1
841,Þorláksgeisli 41a,2022,-21.750420230,64.124526560,1
842,Jónsgeisli 6A,2023,-21.749294950,64.128880020,1
844,Þórðarsveigur 12A,2023,-21.744427230,64.126845420,1
845,Stórhöfði 9,2023,-21.820619440,64.129147580,1
861,Gvendargeisli 13A,2022,-21.739487000,64.126066000,1
862,Vínlandsleið 18,,-21.762716500,64.130385700,1
869,Stakkahlíð 1,2023,-21.903539850,64.137395390,1
884,Laugarásvegur 45,2022,-21.867412690,64.142684200,1
886,Stóragerði 46,2023,-21.886439270,64.125836280,1
889,Hrafnhólar,2024,-21.566399650,64.207010500,1
891,Reiðvað 1a,2022,-21.777095670,64.098214800,1
894,Reykjavegur,,-21.881402360,64.145541730,1
897,Klettháls 7a,2022,-21.783392510,64.117252490,1
899,sóleyjarrimi 29,2022,-21.793778310,64.148116670,1
1101,Helluvað 1a,2022,-21.768511110,64.102312130,1
1102,Bjallavað 1a,2023,-21.775883230,64.102351630,1
1109,Esjumelur 1b,,-21.694824890,64.195095900,1
1110,Hólmvað 2a,2022,-21.762587740,64.101475060,1
1143,Laugavegur 96,2022,-21.917766810,64.143000290,1
1150,Borgartún 26,,-21.897949240,64.145422220,1
1156,Krókháls 11,2022,-21.779877710,64.123146370,1
1162,skarfabakki,Faxaflóahafnir,-21.864767840,64.155638710,1
1163,Úlfarsbraut 48a,2023,-21.743447880,64.133231780,1
1178,Friggjarbrunnur 47,2023,-21.740264370,64.136053560,1
1187,sóltún 4a,,-21.897596330,64.143749180,1
1189,Faxagarður,Faxaflóahafnir,-21.934944970,64.150374090,1
1195,Úlfarsbraut 124a,2023,-21.737390020,64.132736640,1
1196,Urðarbrunnur 130a,2022,-21.733160160,64.135459330,1
1197,Haukdælabraut 56a,2022,-21.725076010,64.127794160,1
1198,Haukdælabraut 126b,2022,-21.727247390,64.129564070,1
1221,Blikastaðavegur 2 - 8,2022,-21.759829980,64.144807330,1
1227,Fiskislóð 37a,Faxaflóahafnir,-21.946651710,64.157646720,1
1233,Vegbrekkur 19a,,-21.736957660,64.098554730,1
1236,Mógilsá 1,max 15 lampar,-21.711383760,64.208394910,1
1237,Mógilsá 23a,max 15 lampar,-21.706365830,64.207800170,1
1243,Kjalarvogur 10a,,-21.842632410,64.135297330,1
1248,Skógarvegur 6a,,-21.897825310,64.121379460,1
1264,Guðrúnartún 8,,-21.909604810,64.146149360,1
1274,Gufunesvegur 1a,,-21.812201580,64.152225740,1
1278,Ljárdalur,max 15 lampar,-21.804343680,64.224319620,1
1279,Vindheimar,max 15 lampar,-21.813150470,64.229767390,1
1298,Klettagarðar 7a,,-21.865475740,64.151472250,1
1305,Jarðstöð Úlfarsdal,max 15 lampar,-21.681695630,64.141724310,1
1310,Söðlagerði,2024,-21.798335410,64.220316550,1
1311,Suðurlandsbraut 8,,-21.883260550,64.139511300,1
1316,Vellir 3a,max 15 lampar,-21.670035330,64.204828660,1
1317,Vellir,max 15 lampar,-21.663170480,64.208920910,1
1318,Norðurgröf,max 15 lampar,-21.648636090,64.208746360,1
1324,Kollafjörður laxeldi,max 15 lampar,-21.696857330,64.207012520,1
1332,Móar,max 15 lampar,-21.788751620,64.215297070,1
1333,Saltvík,max 15 lampar,-21.799769390,64.212453100,1
1334,Fossvogur,,-21.899959780,64.117320780,1
1337,Pósthússtræti,2022,-21.937950270,64.148254920,1
1350,Tryggvagata 27,2023,-21.935593920,64.147907890,1
1352,Silfratjörn 5a,,-21.732141580,64.136775150,1
1353,Rökkvatjörn 1A,,-21.735110260,64.136702530,1
1357,Krókáls 13a,,-21.776295730,64.124929640,1
1360,Hljómskálagarður,2023,-21.939053000,64.140929000,1
1364,Hlíðarendi 14a,,-21.930430000,64.134813000,1
1368,Dugguvogur 2 - bráðab.,,-21.848835840,64.132529590,1
1370,Móaberg,max 15 lampar,-21.763888940,64.204422390,1
1391,Álfsnes,max 15 lampar,-21.757389040,64.189113980,1
1400,Hallgerðargata,,-21.889388350,64.148338790,1
1416,Jöfursbás 4a,2022,-21.807704190,64.153624190,1
1420,Tangabryggja 13E,,-21.822089800,64.133170380,1
1429,Vatnsmýrarvegur,,-21.925652090,64.136462290,1
1438,Sætún,max 15 lampar,-21.775150610,64.212775010,1
1444,Melgerði,max 15 lampar,-21.841720720,64.269462380,1
1445,Melavellir,max 15 lampar,-21.855718620,64.267923000,1
1446,Bakki,max 15 lampar,-21.863367910,64.258707280,1
1454,Álfabakki 4A,,-21.857706000,64.105004000,1
1478,Héðinsreitur. Mýrargötu,,-21.952067160,64.152410200,1
1501,Járnslétta 8a,2022,-21.693911140,64.198291240,1
1526,Dugguvogur 42a,,-21.848354000,64.132401000,1
471_02,Giljaland 1,2022,-21.872520000,64.120112000,1
497_02,Kelduland 1,2022,-21.872280000,64.120143500,1
535_02,Traðarland 14,2024,-21.855473000,64.118460000,1
610_02,Víkurgrund 10,2022,-21.829763000,64.238999000,1
